File Name,Category,Corr_Horizontal_R_baseline,Corr_Horizontal_G_baseline,Corr_Horizontal_B_baseline,Corr_Horizontal_baseline,Corr_Horizontal_R_optimized,Corr_Horizontal_G_optimized,Corr_Horizontal_B_optimized,Corr_Horizontal_optimized,selisih_horizontal,Corr_Vertical_R_baseline,Corr_Vertical_G_baseline,Corr_Vertical_B_baseline,Corr_Vertical_baseline,Corr_Vertical_R_optimized,Corr_Vertical_G_optimized,Corr_Vertical_B_optimized,Corr_Vertical_optimized,selisih_vertical,Corr_Diagonal_R_baseline,Corr_Diagonal_G_baseline,Corr_Diagonal_B_baseline,Corr_Diagonal_baseline,Corr_Diagonal_R_optimized,Corr_Diagonal_G_optimized,Corr_Diagonal_B_optimized,Corr_Diagonal_optimized,selisih_diagonal
I10_01_04.png,low,0.0007,0.00097,-0.00114,0.00018,0.00051,-0.00088,2e-05,-0.00011,0.00029,-0.00064,-0.00082,0.00503,0.00119,-0.00012,0.00037,-0.00099,-0.00025,0.00144,0.00182,0.00046,0.00359,0.00196,-0.00013,-0.00069,-0.00031,-0.00038,0.00234
I11_02_04.png,low,0.00393,-0.0012,0.0026,0.00177,-6e-05,-7e-05,0.00152,0.00047,0.0013000000000000002,-0.00256,0.00253,0.00135,0.00044,0.00115,-0.00156,0.00033,-3e-05,0.00047000000000000004,-0.00194,-0.00088,0.00423,0.00047,0.00013,0.00055,0.00077,0.00048,1.0000000000000026e-05
I18_07_02.png,low,-0.00204,-0.00113,0.00045,-0.00091,-0.00082,-0.0001,0.00082,-3e-05,0.00088,-0.00126,0.00195,-0.00073,-1e-05,-0.00024,-0.00172,0.00196,-0.0,1e-05,-0.00026,-0.00085,0.00332,0.00074,9e-05,0.0005,0.00025,0.00028,0.00046
I18_12_05.png,low,0.00198,-0.00155,0.00158,0.00067,0.00034,-0.00204,-0.00121,-0.00097,0.00164,0.00055,-0.00064,-0.00207,-0.00072,-0.00022,0.00184,-0.00074,0.0003,0.00102,0.0021,0.00037,0.00181,0.00143,0.00029,-1e-05,8e-05,0.00012,0.00131
I20_13_04.png,low,0.00067,-0.00058,9e-05,6e-05,-0.0001,-0.0,0.00101,0.0003,0.00023999999999999998,0.00086,-0.00015,-0.00155,-0.00028,-0.00016,0.00062,0.00046,0.00031,0.00059,0.00233,-0.00258,0.00092,0.00022,-0.00116,0.00053,-0.00078,-0.00047,0.00069
I21_04_04.png,low,-0.00022,0.00135,-0.00116,-1e-05,0.00077,0.00034,0.00123,0.00078,0.00079,-0.00106,-0.00237,-0.00196,-0.0018,0.00059,-0.00029,-0.00175,-0.00048,0.00132,-0.00194,-0.00017,-0.0003,-0.0008,0.00088,-0.00043,-0.00017,9e-05,0.0008900000000000001
I27_21_05.png,low,0.00427,0.00341,-0.00374,0.00131,0.00028,0.00019,-0.00148,-0.00034,0.00165,-0.00144,-0.00078,-0.0011,-0.00111,0.00016,-0.00017,0.0003,0.0001,0.0012100000000000001,0.00239,-0.00091,0.00129,0.00092,0.00047,-0.00046,0.00061,0.00021,0.00071
I29_03_05.png,low,-0.00217,0.00212,0.00656,0.00217,0.0009,0.00195,-0.0006,0.00075,0.00142,-0.0024,-0.00066,0.00017,-0.00096,-0.00177,0.00113,9e-05,-0.00018,0.00078,0.00126,0.00082,0.0026,0.00156,-0.00099,-0.00061,1e-05,-0.00053,0.00209
I33_14_03.png,low,0.00141,0.00122,-0.00724,-0.00154,-0.00081,-0.00128,-0.0016,-0.00123,0.00030999999999999995,0.00208,0.00134,-0.00048,0.00098,-0.00072,7e-05,7e-05,-0.00019,0.00117,0.00094,0.00109,0.00235,0.00146,0.00067,-0.00059,0.0002,0.0001,0.0013599999999999999
I39_21_03.png,low,-0.00038,0.00061,0.0011,0.00044,-0.00022,0.00055,0.00161,0.00065,0.00020999999999999995,0.00199,0.00015,-0.00169,0.00015,0.0014,0.00035,-0.0002,0.00052,0.00037,0.00402,-0.00224,-0.00147,0.0001,-0.00013,0.00072,0.00164,0.00074,0.0006399999999999999
