File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I53_21_03.png,medium,7.99913,-0.00266,-0.0023,0.00038,99.24978,33.49652,7.99918,0.00219,0.00498,-0.00087,99.25537,33.48874,7.99911,-0.00354,0.00091,-0.0007,99.29301,33.45207,7.99914,-0.00134,0.00119,-0.0004,99.26605,33.47911,0.0,inf,0.4355,0.4354,True
I56_25_04.png,medium,7.99917,-0.00164,0.00075,-0.00066,98.94358,33.43386,7.99903,0.00055,0.00272,-0.00217,98.88153,33.46374,7.99916,-5e-05,-0.00187,0.00161,98.93036,33.45098,7.99912,-0.00038,0.00053,-0.00041,98.91849,33.44952,0.0,inf,0.4208,0.4396,True
I57_16_03.png,medium,7.99896,0.00169,-0.00232,-0.00038,99.18009,33.55934,7.99895,0.00056,0.00301,0.00196,99.19434,33.38153,7.99901,-0.00355,0.00125,-0.00183,99.20197,33.32118,7.99897,-0.00043,0.00065,-8e-05,99.19213,33.42068,0.0,inf,0.5525,0.4981,True
I60_13_04.png,medium,7.99892,0.00052,-0.00353,0.00043,98.96901,33.49275,7.99904,-0.00147,0.00024,0.00246,98.99292,33.44437,7.999,-0.00152,0.00222,-0.00022,98.97817,33.49952,7.99899,-0.00082,-0.00036,0.00089,98.98003,33.47888,0.0,inf,0.4674,0.4643,True
I61_22_05.png,medium,7.99919,0.0039,-0.00018,-0.00085,99.57937,33.46989,7.99896,0.00304,-0.00204,0.00043,99.60175,33.45278,7.99906,-0.00139,-0.00086,0.00238,99.59106,33.50249,7.99907,0.00185,-0.00103,0.00065,99.59073,33.47505,0.0,inf,0.4532,0.4404,True
I62_12_04.png,medium,7.99905,0.00148,0.00142,0.00256,98.9741,33.36156,7.99905,-0.00197,0.00024,0.00014,98.99953,33.54223,7.99919,0.00045,-0.00222,0.00254,99.01326,33.41362,7.9991,-1e-05,-0.00019,0.00175,98.99563,33.43913,0.0,inf,0.4513,0.4518,True
I65_13_01.png,medium,7.99902,0.002,0.00021,-0.00269,99.04327,33.43402,7.99907,-0.00074,0.00082,3e-05,99.00106,33.38871,7.99899,0.0001,0.00278,0.00114,99.06972,33.43474,7.99902,0.00045,0.00127,-0.00051,99.03802,33.41916,0.0,inf,0.4338,0.4346,True
I71_12_02.png,medium,7.99917,0.00035,-0.00033,-0.00217,99.4222,33.40944,7.99905,-0.0026,-0.00166,0.00254,99.41508,33.47542,7.999,0.00048,0.00155,0.00091,99.42118,33.40489,7.99907,-0.00059,-0.00015,0.00043,99.41949,33.42992,0.0,inf,0.436,0.4304,True
I73_03_03.png,medium,7.99914,0.00413,-0.00059,0.0017,99.19434,33.48943,7.99905,-0.00097,-0.00188,0.00168,99.23604,33.47063,7.99878,-0.00171,0.00025,0.00354,99.16484,33.39274,7.99899,0.00048,-0.00074,0.00231,99.1984,33.45093,0.0,inf,0.4335,0.4387,True
I75_07_01.png,medium,7.99908,0.00213,8e-05,0.00301,99.40847,33.43149,7.99903,0.00092,-0.00399,-3e-05,99.42271,33.50114,7.99894,4e-05,0.00185,-0.00096,99.37388,33.48959,7.99902,0.00103,-0.00069,0.00068,99.40169,33.47407,0.0,inf,0.426,0.4422,True
